;e;0;1
Start;~|Prepare|<;~|Start|>;~|Start|>
Prepare;;e|Prepare0A|>;e|Prepare1A|>
Prepare0A;0|Prepare0B|>;;
Prepare0B;e|Prepare0C|>;;
Prepare0C;0|BackRight|<;;
Prepare1A;1|Prepare1B|>;;
Prepare1B;e|Prepare1C|>;;
Prepare1C;1|BackRight|<;;
BackRight;~|BackLeft|<;~|BackRight|<;~|BackRight|<
BackLeft;~|Move|<;~|BackLeft|<;~|BackLeft|<
Move;e|GotoCenterA|>;e|Move0A|>;e|Move1A|>
Move0A;0|Move0B|>;;
Move0B;~|Move0C|>;~|Move0B|>;~|Move0B|>
Move0C;0|BackRight|<;~|Move0C|>;~|Move0C|>
Move1A;1|Move1B|>;;
Move1B;~|Move1C|>;~|Move1B|>;~|Move1B|>
Move1C;1|BackRight|<;~|Move1C|>;~|Move1C|>
GotoCenterA;e|GotoCenterB|>;;
GotoCenterB;~|ShiftA|<;~|GotoCenterB|>;~|GotoCenterB|>
ShiftA;e|Finish|>;e|ShiftB0|>;e|ShiftB1|>
ShiftB0;0|ShiftC|<;;
ShiftB1;1|ShiftC|<;;
ShiftC;e|ShiftA|<;;
Finish;~|Finish|>;~|Z|*;~|Z|*
